,coef,std_err,pvalue,ci_low,ci_high,significant,signif_star,var_label
tpt_feb,-0.4493619612336164,0.16508189481347946,0.007586533891870584,-0.7729224750680361,-0.12580144739919663,True,**,TPT Februari
pct_miskin_maret,-0.13461821744336516,0.037526567312279276,0.0005072575684226255,-0.20817028937543253,-0.061066145511297784,True,***,% Penduduk Miskin
aps_1618,-0.04001878269050497,0.06875271548010319,0.5617565710214216,-0.1747741050315072,0.09473653965049728,False,,APS 16-18 Thn
gk_maret,6.27755477921605e-06,9.328999808328799e-07,8.994136546647269e-10,4.449070816783606e-06,8.106038741648495e-06,True,***,Garis Kemiskinan
tpak_feb,0.016282486430363913,0.028363856072998905,0.5671449905535817,-0.03931067147271394,0.07187564433344176,False,,TPAK Februari
aps_1924,0.02897020962709928,0.03134699095230522,0.35749254886746384,-0.03246989263941895,0.0904103118936175,False,,APS 19-24 Thn
aps_1315,0.08703321934848654,0.11503516289781059,0.45098026273568026,-0.1384356999312222,0.3125021386281953,False,,APS 13-15 Thn
